sample_name;time;treatment;rep;sample_ID;resp_basal;resp_induc;cfu_actino;cfu_bact;cfu_fungi;colonisation;spore_amf;org.matter;phosphorus;calcium ;magnesium ;sodium;potassium;ph.water;pH.chloride;conductivity;nitrogen
S092;T4;chicken;B;S092_T4_chicken_B;2.323.874.755;8.133.561.644;58000;10700000;82000;15;19;2.69;113.6;172;68.3;44.2;14.9;8.07;7.25;0.67;0.15
S093;T4;chicken;C;S093_T4_chicken_C;3.279.883.382;1.147.959.184;1330000;14900000;82500;36;26;2.56;109.2;183;67.5;47.6;14.2;7.96;7.22;0.76;0.16
S094;T4;cow;A;S094_T4_cow_A;3.144.147.049;1.339.285.714;149000;6800000;88500;28.5;35.5;3.91;137.6;165;79.8;49.8;23;8.26;7.39;0.62;0.17
S095;T4;cow;B;S095_T4_cow_B;3.265.075.782;1.142.776.524;615000;11200000;105000;8;43;3.53;114.9;161;91.3;40.5;15.9;8.51;7.46;0.3;0.17
S096;T4;cow;C;S096_T4_cow_C;4.082.810.953;1.428.983.834;170000;9350000;95000;14.5;37;4.41;141.7;178;93;44.8;18;8.4;7.41;0.36;0.22
S097;T4;pellet;A;S097_T4_pellet_A;3.826.530.612;9.482.758.621;51500;1960000;99500;21.5;93;3.3;78.6;183;72.4;43.3;20.8;8.44;7.6;0.51;0.15
S098;T4;pellet;B;S098_T4_pellet_B;3.317.496.723;119.964.455;60000;505000;123000;20;12;3.59;71;172;85.6;34.8;18.8;8.63;7.62;0.49;0.18
S099;T4;pellet;C;S099_T4_pellet_C;3.746.253.746;1.311.188.811;26000;7000000;106000;39.5;37;3.1;67;179;85.6;36.8;21.2;8.51;7.61;0.32;0.16
S100;T4;compost;A;S100_T4_compost_A;2.709.359.606;9.482.758.621;105000;7650000;154000;21.5;98.5;3.56;61.2;156;79;39.1;15.7;8.44;7.39;0.33;0.14
S101;T4;compost;B;S101_T4_compost_B;3.427.555.856;119.964.455;535000;11800000;127000;27.5;91.5;4.24;62.7;165;86.4;41.8;17.3;8.57;7.39;0.26;0.14
S102;T4;compost;C;S102_T4_compost_C;4.045.439.686;141.590.389;765000;3300000;89000;13;84.5;4.34;67.3;168;79;38.7;17.8;8.22;7.17;0.31;0.17
S103;T4;control_legumes;A;S103_T4_control_legumes_A;5.249.761.374;1.837.416.481;72000;2140000;91500;10;122;2.87;61.9;199;93;40.5;16.8;8.4;7.5;0.37;0.14
S104;T4;control_legumes;B;S104_T4_control_legumes_B;4.008.746.356;1.403.061.224;98500;1650000;123000;10.5;132;2.56;67.7;191;80.6;36.8;14.8;8.38;7.39;0.32;0.15
S105;T4;control_legumes;C;S105_T4_control_legumes_C;3.514.867.485;123.020.362;90500;2390000;142000;1.5;96;3.06;73.3;196;83.1;36.1;15.7;8.38;7.46;0.32;0.13
S106;T5;control;A;S106_T5_control_A;12.67281106;64.51612903;6000;710000;63000;10.5;34;;;;;;;;;;
S107;T5;control;B;S107_T5_control_B;9.652509653;139.3581081;31500;700000;58500;24.5;40;;;;;;;;;;
S108;T5;control;C;S108_T5_control_C;10.59654631;53.57142857;16000;500000;65000;10;68;;;;;;;;;;
S109;T5;control_amf;A;S109_T5_control_amf_A;12.53799392;163.5638298;34500;465000;66500;12.5;65;;;;;;;;;;
S110;T5;control_amf;B;S110_T5_control_amf_B;20.87198516;117.6948052;16000;630000;97500;15;55;;;;;;;;;;
S111;T5;control_amf;C;S111_T5_control_amf_C;15.47619048;204.1666667;17000;570000;88500;16;68;;;;;;;;;;
S112;T5;chicken;A;S112_T5_chicken_A;16.74107143;188.3370536;600000;2500000;176000;2.333333333;25;;;;;;;;;;
S113;T5;chicken;B;S113_T5_chicken_B;13.00851466;186.2582781;645000;3020000;59500;7.166666667;19;;;;;;;;;;
S114;T5;chicken;C;S114_T5_chicken_C;17.00680272;221.0884354;275000;2820000;232000;10.5;18;;;;;;;;;;
S115;T5;cow;A;S115_T5_cow_A;18.92147588;198.6754967;121000;2320000;59500;7.833333333;39;;;;;;;;;;
S116;T5;cow;B;S116_T5_cow_B;22.17553688;196.0784314;29500;1950000;186000;13.83333333;27;;;;;;;;;;
S117;T5;cow;C;S117_T5_cow_C;30.54511278;205.5921053;98000;1040000;208000;15.16666667;34;;;;;;;;;;
S118;T5;pellet;A;S118_T5_pellet_A;22.07933065;81.34490239;82000;675000;62500;15.5;91;;;;;;;;;;
S119;T5;pellet;B;S119_T5_pellet_B;33.40757238;171.2138085;14500;1370000;116000;16;50;;;;;;;;;;
S120;T5;pellet;C;S120_T5_pellet_C;20.84014384;188.7871854;36500;1380000;103000;15.66666667;50;;;;;;;;;;
S121;T5;compost;A;S121_T5_compost_A;19.84126984;179.7385621;415000;1200000;131000;11;40;;;;;;;;;;
S122;T5;compost;B;S122_T5_compost_B;19.71243043;186.6883117;24500;1320000;154000;12;34;;;;;;;;;;
S123;T5;compost;C;S123_T5_compost_C;25.62111801;187.5;87500;1080000;120000;12.5;31;;;;;;;;;;
S124;T5;control_legumes;A;S124_T5_control_legumes_A;11.85208597;53.92699115;64000;44500;107000;11.5;36;;;;;;;;;;
S125;T5;control_legumes;B;S125_T5_control_legumes_B;14.41383728;88.28475336;29500;630000;56500;21;67;;;;;;;;;;
S126;T5;control_legumes;C;S126_T5_control_legumes_C;11.47139798;56.20985011;23500;365000;36500;22;86;;;;;;;;;;
